Artist,Name,Image,Tags,Url
Recycled J,Preludio,img/pre.jpg,rap,https://open.spotify.com/album/3bwtp40wXMy9dWWlNDgL4u?si=6Cp_ZPVpRLOgtf9RotJz8g
Recycled J,San Jorge,img/jorge.jpeg,rap|trap|pop,https://open.spotify.com/album/5SMgH661iAfJixb3gVRtH5?si=3iIY5wHdSKmxKRTdnpr7uQ
Rels B,A New Star (1993),img/star.jpeg,pop,https://open.spotify.com/album/6MxVqDR6nACRxGSePfK9y4?si=5QjqYzytQTm7PQAKBqOuHA
Rosalia,El Mal Querer,img/querer.jpg,flamenco|fusión,https://open.spotify.com/album/355bjCHzRJztCzaG5Za4gq?si=SzM_b0h0SY-htmVNgOHq5A
Rosalia,Motomami,img/moto.jpg,pop|experimental,https://open.spotify.com/album/6jbtHi5R0jMXoliU2OS0lo?si=Bt0fzNnIR-i1JsGJtcDjuw
Rusowsky,DAISY,img/daisy.jpg,pop|electrónica|experimental,https://open.spotify.com/album/0o1RGF3A02UN1aVAX1SLuQ?si=Z5plspPuRR6pesx71nep_w
Youth Lagoon,Savage Hills Ballroom,img/ballroom.jpg,rock,https://open.spotify.com/album/2REi0vGs8rCaFms8lVwZzk?si=bkUqy2lKS_e2PuRxhpnOmg
Sen Senra,Sensaciones,img/sens.jpg,pop,https://open.spotify.com/album/7Hr8FOf7NQIe7UhLcllXq9?si=UkE2zZRsQ9qP_4bSPV5lNg
SZA,Ctrl,img/ctrl.jpg,r&b|león,https://open.spotify.com/album/76290XdXVF9rPzGdNRWdCh?si=kFfr8PbpSi6A9rxDhreTxw
SZA,SOS,img/sos.png,r&b,https://open.spotify.com/album/07w0rG5TETcyihsEIZR3qG?si=Q0xUpc6CSO2qRVGDpI45tg
Taifa Yallah,Causa,img/causa.jpg,rap,https://open.spotify.com/album/5GyDhDfK24MhsOH1bX8gdW?si=dERDC1zRTMKnuStBj07X8A
The Weeknd,Starboy,img/starboy.jpg,pop|r&b|león,https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe?si=9Yge93NSQvC1MfDVAkb0kA
Vetusta Morla,Un Día en el Mundo,img/un_dia.jpg,rock|indie,https://open.spotify.com/album/7ozOQXEfKskKDTtDpmTnuh?si=TRk5pXaPS_e3offgX2go7g
Vetusta Morla,Mapas,img/mapas.jpg,rock|indie,https://open.spotify.com/album/1Oow7d8D859T5Xd2tsQUzG?si=m-FNlH2WQD6HQMWDMV0iYw
Los Grandes del Jazz,Grandes del Jazz Vol. 6,img/grandes.jpg,jazz|león, 
